tab	samples
sample	site	specimens	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	orientation_quality	citations	method_codes	timestamp	timestamp	timestamp	timestamp	location	sample_direction_type
ns004f	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				29.4	0	12	167	-83	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004f	ns004	ns004f1	MAG	298.6	36.4	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns004g	ns004	ns004g1	MAG	282.2	45.6	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns004g	ns004									47.73275	269.56367	Igneous : Extrusive	Lava Flow	Basalt				29.1	358.1	12	167	-21	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns004g	ns004	ns004g1	MAG	291.8	39.5	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005a	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				94	0	12	167	-77	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005a	ns005	ns005a1	HEM	295.3	36.8	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns005a	ns005	ns005a1	HEM	301.1	28.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005b	ns005	ns005b1	MAG	302.1	36.5	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns005b	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				114.7	0	12	167	-82	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns005b	ns005	ns005b1	MAG	307.2	27.6	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns005c	ns005									47.72542	269.55701	Igneous : Extrusive	Lava Flow	Andesite				112.1	358.1	12	167	-82	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
