tab 	measurements
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	0.5	218.6	72.8	ns009e3:LT-NO	North Shore Volcanics	1.58e-05	4	273	1	LT-NO	g	ns009e	ns009	ns009e3	u	SAN	0	0	0	0	273
This study	0.6	228.6	22.6	ns009f1:LT-NO	North Shore Volcanics	1.868e-06	4	273	1	LT-NO	g	ns009f	ns009	ns009f1	u	SAN	0	0	0	0	273
This study	0.5	231.6	23.6	ns009f2:LT-NO	North Shore Volcanics	2.051e-06	4	273	1	LT-NO	g	ns009f	ns009	ns009f2	u	SAN	0	0	0	0	273
This study	0.5	229.5	23.4	ns009f3:LT-NO	North Shore Volcanics	2.087e-06	4	273	1	LT-NO	g	ns009f	ns009	ns009f3	u	SAN	0	0	0	0	273
This study	0.5	220.5	45.2	ns010a1:LT-NO	North Shore Volcanics	1.469e-06	4	273	1	LT-NO	g	ns010a	ns010	ns010a1	u	SAN	0	0	0	0	273
This study	0.7	225.9	43.2	ns010b1:LT-NO	North Shore Volcanics	3.534e-06	4	273	1	LT-NO	g	ns010b	ns010	ns010b1	u	SAN	0	0	0	0	273
This study	0.4	226.3	44.1	ns010b2:LT-NO	North Shore Volcanics	4.067e-06	4	273	1	LT-NO	g	ns010b	ns010	ns010b2	u	SAN	0	0	0	0	273
This study	0.5	206.4	69.5	ns010c1:LT-NO	North Shore Volcanics	5.065e-06	4	273	1	LT-NO	g	ns010c	ns010	ns010c1	u	SAN	0	0	0	0	273
This study	0.4	218	70.7	ns010c2:LT-NO	North Shore Volcanics	8.003e-06	4	273	1	LT-NO	g	ns010c	ns010	ns010c2	u	SAN	0	0	0	0	273
This study	0.3	181.5	76	ns010d1:LT-NO	North Shore Volcanics	1.314e-05	4	273	1	LT-NO	g	ns010d	ns010	ns010d1	u	SAN	0	0	0	0	273
This study	0.6	234.7	44.7	ns010e1:LT-NO	North Shore Volcanics	8.899e-06	4	273	1	LT-NO	g	ns010e	ns010	ns010e1	u	SAN	0	0	0	0	273
This study	0.4	232.4	46.2	ns010e2:LT-NO	North Shore Volcanics	9.675e-06	4	273	1	LT-NO	g	ns010e	ns010	ns010e2	u	SAN	0	0	0	0	273
This study	0.6	234.1	60.9	ns010f1:LT-NO	North Shore Volcanics	1.091e-05	4	273	1	LT-NO	g	ns010f	ns010	ns010f1	u	SAN	0	0	0	0	273
This study	0.3	173.9	59.2	ns011a1:LT-NO	North Shore Volcanics	1.724e-05	4	273	1	LT-NO	g	ns011a	ns011	ns011a1	u	SAN	0	0	0	0	273
This study	0.4	178.4	62.3	ns011a2:LT-NO	North Shore Volcanics	1.644e-05	4	273	1	LT-NO	g	ns011a	ns011	ns011a2	u	SAN	0	0	0	0	273
This study	0.3	177.1	62.4	ns011a3:LT-NO	North Shore Volcanics	1.742e-05	4	273	1	LT-NO	g	ns011a	ns011	ns011a3	u	SAN	0	0	0	0	273
This study	0.3	174.5	64.6	ns011b1:LT-NO	North Shore Volcanics	1.691e-05	4	273	1	LT-NO	g	ns011b	ns011	ns011b1	u	SAN	0	0	0	0	273
This study	0.3	175.1	64.9	ns011b2:LT-NO	North Shore Volcanics	1.626e-05	4	273	1	LT-NO	g	ns011b	ns011	ns011b2	u	SAN	0	0	0	0	273
This study	0.5	258.4	39.2	ns011c1:LT-NO	North Shore Volcanics	3.908e-06	4	273	1	LT-NO	g	ns011c	ns011	ns011c1	u	SAN	0	0	0	0	273
This study	0.5	259.6	38.5	ns011c2:LT-NO	North Shore Volcanics	5.679e-06	4	273	1	LT-NO	g	ns011c	ns011	ns011c2	u	SAN	0	0	0	0	273
This study	0.8	260.2	36	ns011c3:LT-NO	North Shore Volcanics	6.702e-06	4	273	1	LT-NO	g	ns011c	ns011	ns011c3	u	SAN	0	0	0	0	273
This study	0.6	304	26.2	ns011d1:LT-NO	North Shore Volcanics	0.0001117	4	273	1	LT-NO	g	ns011d	ns011	ns011d1	u	SAN	0	0	0	0	273
This study	0.5	307.6	31.8	ns011d2:LT-NO	North Shore Volcanics	5.685e-05	4	273	1	LT-NO	g	ns011d	ns011	ns011d2	u	SAN	0	0	0	0	273
This study	0.4	305.5	31.6	ns011e1:LT-NO	North Shore Volcanics	5.005e-05	4	273	1	LT-NO	g	ns011e	ns011	ns011e1	u	SAN	0	0	0	0	273
This study	0.3	309.1	31.6	ns011e2:LT-NO	North Shore Volcanics	5.93e-05	4	273	1	LT-NO	g	ns011e	ns011	ns011e2	u	SAN	0	0	0	0	273
This study	0.2	17.6	32.3	ns011f1:LT-NO	North Shore Volcanics	7.363e-05	4	273	1	LT-NO	g	ns011f	ns011	ns011f1	u	SAN	0	0	0	0	273
This study	0.4	243.8	69	ns011g1:LT-NO	North Shore Volcanics	1.438e-05	4	273	1	LT-NO	g	ns011g	ns011	ns011g1	u	SAN	0	0	0	0	273
This study	0.4	124.9	24.1	ns012a1:LT-NO	North Shore Volcanics	5.504e-05	4	273	1	LT-NO	g	ns012a	ns012	ns012a1	u	SAN	0	0	0	0	273
This study	0.4	123.5	23.1	ns012a2:LT-NO	North Shore Volcanics	7.774e-05	4	273	1	LT-NO	g	ns012a	ns012	ns012a2	u	SAN	0	0	0	0	273
This study	0.3	136.9	13.7	ns012b1:LT-NO	North Shore Volcanics	5.334e-05	4	273	1	LT-NO	g	ns012b	ns012	ns012b1	u	SAN	0	0	0	0	273
This study	0.5	119.4	12.3	ns012c1:LT-NO	North Shore Volcanics	6.352e-06	4	273	1	LT-NO	g	ns012c	ns012	ns012c1	u	SAN	0	0	0	0	273
This study	0.2	119.9	11.7	ns012c2:LT-NO	North Shore Volcanics	7.497e-06	4	273	1	LT-NO	g	ns012c	ns012	ns012c2	u	SAN	0	0	0	0	273
This study	0.4	124.6	32.9	ns012d1:LT-NO	North Shore Volcanics	4.579e-06	4	273	1	LT-NO	g	ns012d	ns012	ns012d1	u	SAN	0	0	0	0	273
This study	0.3	124.8	33.3	ns012d2:LT-NO	North Shore Volcanics	4.49e-06	4	273	1	LT-NO	g	ns012d	ns012	ns012d2	u	SAN	0	0	0	0	273
This study	0.3	131	32	ns012d3:LT-NO	North Shore Volcanics	4.651e-06	4	273	1	LT-NO	g	ns012d	ns012	ns012d3	u	SAN	0	0	0	0	273
This study	0.3	120.5	47.9	ns012e1:LT-NO	North Shore Volcanics	3.716e-06	4	273	1	LT-NO	g	ns012e	ns012	ns012e1	u	SAN	0	0	0	0	273
This study	0.2	116.3	47.2	ns012e2:LT-NO	North Shore Volcanics	5.058e-06	4	273	1	LT-NO	g	ns012e	ns012	ns012e2	u	SAN	0	0	0	0	273
This study	0.5	230.3	50.7	ns012f1:LT-NO	North Shore Volcanics	5.728e-05	4	273	1	LT-NO	g	ns012f	ns012	ns012f1	u	SAN	0	0	0	0	273
This study	0.4	231.7	49.6	ns012g1:LT-NO	North Shore Volcanics	0.0001935	4	273	1	LT-NO	g	ns012g	ns012	ns012g1	u	SAN	0	0	0	0	273
This study	0.5	256.3	38.9	ns013a1:LT-NO	North Shore Volcanics	1.387e-06	4	273	1	LT-NO	g	ns013a	ns013	ns013a1	u	SAN	0	0	0	0	273
This study	0.6	258.2	37.4	ns013a2:LT-NO	North Shore Volcanics	3.194e-06	4	273	1	LT-NO	g	ns013a	ns013	ns013a2	u	SAN	0	0	0	0	273
This study	0.7	353.9	-71.5	ns013b1:LT-NO	North Shore Volcanics	3.071e-06	4	273	1	LT-NO	g	ns013b	ns013	ns013b1	u	SAN	0	0	0	0	273
This study	0.3	354	-71	ns013b2:LT-NO	North Shore Volcanics	4.467e-06	4	273	1	LT-NO	g	ns013b	ns013	ns013b2	u	SAN	0	0	0	0	273
This study	0.3	4.9	-72.5	ns013b3:LT-NO	North Shore Volcanics	4.086e-06	4	273	1	LT-NO	g	ns013b	ns013	ns013b3	u	SAN	0	0	0	0	273
