pole_name,citations,location,site,lat,lon,age,age_high,age_low,age_unit,age_uncertainty,dir_dec,dir_inc,dir_k,dir_f,dir_alpha95,dir_r,dir_tilt_correction,dir_polarity,dir_n_specimens,dir_n_samples,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,geologic_classes,lithologies,geologic_types,age_model,height_type,height,height_upper,height_lower,paleolatitude,Plon,Plat
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(183.4 to 188.7),48.7376,272.3066,1105.15,1105.48,1104.82,Ma,gaussian,116.0,-61.0,320.0,1.0,3.5,,100,r,5.0,5.0,-45.90276529036509,18.75590398471985,45.90276529036509,198.75590398471985,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,3023.4,,,-42.051214164410815,198.75590398471985,45.90276529036509
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(197.5 to 216.7),48.7373,272.3065,1105.15,1105.48,1104.82,Ma,gaussian,98.7,-70.0,185.1851851851852,1.0,4.2,,100,r,6.0,6.0,-41.79281371578235,41.01931457704944,41.79281371578235,221.01931457704944,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,3037.5,,,-53.94761126761208,221.01931457704944,41.79281371578235
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(3.2 to 30.7),48.7408,272.3235,1105.15,1105.48,1104.82,Ma,gaussian,111.9,-57.1,204.16666666666666,1.0,4.0,,100,r,6.0,6.0,-40.86838803771886,16.205238827222615,40.86838803771886,196.20523882722262,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2843.2,,,-37.69980253962278,196.20523882722262,40.86838803771886
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(57.2 to 63.3),48.7402,272.3162,1105.15,1105.48,1104.82,Ma,gaussian,97.9,-42.5,104.16666666666669,1.0,5.6,,100,r,6.0,6.0,-23.298395822220574,13.666496007949377,23.298395822220574,193.66649600794938,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2897.2,,,-24.615621632891315,193.66649600794938,23.298395822220574
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(64.6 to 70.4),48.7401,272.3159,1105.15,1105.48,1104.82,Ma,gaussian,99.2,-50.4,105.34802472453643,1.0,6.1,,100,r,5.0,5.0,-28.624942166748884,18.06571474530915,28.624942166748884,198.06571474530915,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2904.6,,,-31.148604940704953,198.06571474530915,28.624942166748884
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI5b(72.6 to 79.0),48.7399,272.3155,1105.15,1105.48,1104.82,Ma,gaussian,97.0,-49.4,266.6666666666667,1.0,3.5,,100,r,6.0,6.0,-26.628635687214505,18.767495530541282,26.628635687214505,198.76749553054128,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2912.6,,,-30.25757754123655,198.76749553054128,26.628635687214505
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(0.0 to 3.0),48.7462,272.3607,1105.15,1105.48,1104.82,Ma,gaussian,103.2,-63.3,105.34802472453643,1.0,6.1,,100,r,5.0,5.0,-39.555066116171076,28.78756586110069,39.555066116171076,208.7875658611007,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2451.0,,,-44.831611599698995,208.7875658611007,39.555066116171076
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(12.0 to 28.4),48.746,272.3606,1105.15,1105.48,1104.82,Ma,gaussian,78.3,-63.0,463.1379962192817,1.0,2.3,,100,r,8.0,8.0,-25.53856845858556,41.59188058365828,25.53856845858556,221.59188058365828,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2463.0,,,-44.45939762236196,221.59188058365828,25.53856845858556
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(122.3 to 127.6),48.7439,272.3507,1105.15,1105.48,1104.82,Ma,gaussian,79.9,-79.5,70.54673721340389,1.0,6.3,,100,r,7.0,7.0,-41.659858937749945,65.0918649722289,41.659858937749945,245.0918649722289,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2573.3,,,-69.66136047887932,245.0918649722289,41.659858937749945
Osler reverse upper,Swanson-Hysell et al. 2014,Simpson Island,SI6(180.6 to 188.8),48.7423,272.35,1105.15,1105.48,1104.82,Ma,gaussian,75.3,-53.3,115.78449905482043,1.0,4.6,,100,r,8.0,8.0,-16.249014614621416,35.55657182721029,16.249014614621416,215.5565718272103,,,Extrusive:Igneous,Basalt,Lava Flow,Osler Volcanic Group,exact,2631.6,,,-33.853766737354945,215.5565718272103,16.249014614621416
